Logfile created on:	2020-06-01	19:06:42

Create XYZ Coordinate lists: arc length maximum: 52,216557
Create XYZ Coordinate lists: nr of timepoints to save: 190
t=189: 4 width fits with r < 0.8!
t=188: 4 width fits with r < 0.8!
t=187: 4 width fits with r < 0.8!
t=186: 4 width fits with r < 0.8!
t=185: 4 width fits with r < 0.8!
t=184: 4 width fits with r < 0.8!
t=183: 4 width fits with r < 0.8!
t=182: 4 width fits with r < 0.8!
t=181: 4 width fits with r < 0.8!
t=180: 4 width fits with r < 0.8!
t=179: 4 width fits with r < 0.8!
t=178: 4 width fits with r < 0.8!
t=177: 4 width fits with r < 0.8!
t=176: 4 width fits with r < 0.8!
t=175: 4 width fits with r < 0.8!
t=174: 4 width fits with r < 0.8!
t=173: 4 width fits with r < 0.8!
t=172: 4 width fits with r < 0.8!
t=171: 4 width fits with r < 0.8!
t=170: 3 width fits with r < 0.8!
t=169: 3 width fits with r < 0.8!
t=168: 3 width fits with r < 0.8!
t=167: 3 width fits with r < 0.8!
t=166: 3 width fits with r < 0.8!
t=165: 3 width fits with r < 0.8!
t=164: 3 width fits with r < 0.8!
t=163: 3 width fits with r < 0.8!
t=162: 3 width fits with r < 0.8!
t=161: 3 width fits with r < 0.8!
t=160: 3 width fits with r < 0.8!
t=159: 3 width fits with r < 0.8!
t=158: 3 width fits with r < 0.8!
t=157: 3 width fits with r < 0.8!
t=156: 3 width fits with r < 0.8!
t=155: 3 width fits with r < 0.8!
t=154: 3 width fits with r < 0.8!
t=153: 3 width fits with r < 0.8!
t=152: 3 width fits with r < 0.8!
t=151: 3 width fits with r < 0.8!
t=150: 3 width fits with r < 0.8!
t=149: 2 width fits with r < 0.8!
t=148: 2 width fits with r < 0.8!
t=147: 2 width fits with r < 0.8!
t=146: 1 width fits with r < 0.8!
t=144: 1 width fits with r < 0.8!
t=55: 4 width fits with r < 0.8!
t=54: 4 width fits with r < 0.8!
t=53: 5 width fits with r < 0.8!
t=52: 6 width fits with r < 0.8!
t=51: 9 width fits with r < 0.8!
t=50: 11 width fits with r < 0.8!
t=49: 14 width fits with r < 0.8!
t=48: 15 width fits with r < 0.8!
t=47: 15 width fits with r < 0.8!
t=46: 16 width fits with r < 0.8!
t=45: 16 width fits with r < 0.8!
t=44: 16 width fits with r < 0.8!
t=43: 17 width fits with r < 0.8!
t=42: 17 width fits with r < 0.8!
t=41: 17 width fits with r < 0.8!
t=40: 17 width fits with r < 0.8!
t=39: 18 width fits with r < 0.8!
t=38: 18 width fits with r < 0.8!
t=37: 18 width fits with r < 0.8!
t=36: 19 width fits with r < 0.8!
t=35: 19 width fits with r < 0.8!
t=34: 19 width fits with r < 0.8!
t=33: 19 width fits with r < 0.8!
t=32: 19 width fits with r < 0.8!
t=31: 20 width fits with r < 0.8!
t=30: 20 width fits with r < 0.8!
t=29: 20 width fits with r < 0.8!
t=28: 20 width fits with r < 0.8!
t=27: 21 width fits with r < 0.8!
t=26: 21 width fits with r < 0.8!
t=25: 21 width fits with r < 0.8!
t=24: 21 width fits with r < 0.8!
t=23: 21 width fits with r < 0.8!
t=22: 22 width fits with r < 0.8!
t=21: 22 width fits with r < 0.8!
t=20: 22 width fits with r < 0.8!
t=19: 22 width fits with r < 0.8!
t=18: 22 width fits with r < 0.8!
t=17: 22 width fits with r < 0.8!
t=16: 23 width fits with r < 0.8!
t=15: 23 width fits with r < 0.8!
t=14: 23 width fits with r < 0.8!
t=13: 23 width fits with r < 0.8!
t=12: 23 width fits with r < 0.8!
t=11: 23 width fits with r < 0.8!
t=10: 23 width fits with r < 0.8!
t=9: 23 width fits with r < 0.8!
t=8: 24 width fits with r < 0.8!
t=7: 24 width fits with r < 0.8!
t=6: 24 width fits with r < 0.8!
t=5: 24 width fits with r < 0.8!
t=4: 24 width fits with r < 0.8!
t=3: 24 width fits with r < 0.8!
t=2: 25 width fits with r < 0.8!
t=1: 25 width fits with r < 0.8!
t=0: 25 width fits with r < 0.8!
